pattern_id,class_id,count,delivery_offset_s
P000254,C001,1,2477.5926383045753
P000254,C012,1,1439.111829747456
P000254,C013,1,1439.111829747456
P000255,C001,1,939.3587719896758
P000255,C006,1,939.3587719896758
P000255,C012,1,1967.5395805467952
P000256,C001,1,939.3587719896758
P000256,C005,1,939.3587719896758
P000256,C012,1,1967.5395805467952
P000257,C001,1,939.3587719896758
P000257,C004,1,939.3587719896758
P000257,C012,1,1967.5395805467952
P000258,C001,1,939.3587719896758
P000258,C003,1,939.3587719896758
P000258,C012,1,1967.5395805467952
P000259,C001,1,939.3587719896758
P000259,C002,1,939.3587719896758
P000259,C014,1,1967.5395805467952
P000260,C001,1,2477.5926383045753
P000260,C002,1,2477.5926383045753
P000260,C014,1,1409.111829747456
P000261,C001,1,939.3587719896758
P000261,C002,1,939.3587719896758
P000261,C013,1,1967.5395805467952
P000262,C001,1,939.3587719896758
P000262,C002,1,939.3587719896758
P000262,C012,1,1967.5395805467952
P000263,C001,1,2477.5926383045753
P000263,C002,1,2477.5926383045753
P000263,C012,1,1409.111829747456
P000264,C006,1,879.3587719896758
P000264,C018,1,1618.7589204409082
P000265,C006,1,2085.979848937725
P000265,C018,1,1343.6263671531592
P000266,C006,1,879.3587719896758
P000266,C017,1,1618.7589204409082
P000267,C006,1,2085.979848937725
P000267,C017,1,1343.6263671531592
P000268,C005,1,879.3587719896758
P000268,C018,1,1618.7589204409082
P000269,C005,1,2085.979848937725
P000269,C018,1,1343.6263671531592
P000270,C005,1,879.3587719896758
P000270,C017,1,1618.7589204409082
P000271,C005,1,2085.979848937725
P000271,C017,1,1343.6263671531592
P000272,C004,1,879.3587719896758
P000272,C017,1,1618.7589204409082
P000273,C004,1,2085.979848937725
P000273,C017,1,1343.6263671531592
P000274,C003,1,879.3587719896758
P000274,C021,1,1618.7589204409082
P000275,C003,1,2085.979848937725
P000275,C021,1,1343.6263671531592
P000276,C003,1,879.3587719896758
P000276,C020,1,1618.7589204409082
P000277,C003,1,2085.979848937725
P000277,C020,1,1343.6263671531592
P000278,C003,1,879.3587719896758
P000278,C018,1,1618.7589204409082
P000279,C003,1,2085.979848937725
P000279,C018,1,1343.6263671531592
P000280,C003,1,879.3587719896758
P000280,C017,1,1618.7589204409082
P000281,C003,1,2085.979848937725
P000281,C017,1,1343.6263671531592
P000282,C002,1,879.3587719896758
P000282,C021,1,1618.7589204409082
P000283,C002,1,2085.979848937725
P000283,C021,1,1343.6263671531592
P000284,C002,1,879.3587719896758
P000284,C020,1,1618.7589204409082
P000285,C002,1,2085.979848937725
P000285,C020,1,1343.6263671531592
P000286,C002,1,879.3587719896758
P000286,C019,1,1618.7589204409082
P000287,C002,1,2085.979848937725
P000287,C019,1,1343.6263671531592
P000288,C002,1,879.3587719896758
P000288,C018,1,1618.7589204409082
P000289,C002,1,2085.979848937725
P000289,C018,1,1343.6263671531592
P000290,C002,1,879.3587719896758
P000290,C017,1,1618.7589204409082
P000291,C002,1,2085.979848937725
P000291,C017,1,1343.6263671531592
P000292,C002,1,909.3587719896758
P000292,C017,1,1678.7589204409082
P000292,C021,1,1678.7589204409082
P000293,C002,1,2145.979848937725
P000293,C017,1,1403.6263671531592
P000293,C021,1,1403.6263671531592
P000294,C002,1,909.3587719896758
P000294,C017,1,1678.7589204409082
P000294,C020,1,1678.7589204409082
P000295,C002,1,2145.979848937725
P000295,C017,1,1403.6263671531592
P000295,C020,1,1403.6263671531592
P000296,C002,1,909.3587719896758
P000296,C017,1,1678.7589204409082
P000296,C019,1,1678.7589204409082
P000297,C002,1,2145.979848937725
P000297,C017,1,1403.6263671531592
P000297,C019,1,1403.6263671531592
P000298,C002,1,909.3587719896758
P000298,C017,1,1678.7589204409082
P000298,C018,1,1678.7589204409082
P000299,C002,1,2145.979848937725
P000299,C017,1,1403.6263671531592
P000299,C018,1,1403.6263671531592
P000300,C002,1,939.3587719896758
P000300,C006,1,939.3587719896758
P000300,C017,1,1678.7589204409082
P000301,C002,1,2145.979848937725
P000301,C006,1,2145.979848937725
P000301,C017,1,1373.6263671531592
P000302,C002,1,939.3587719896758
P000302,C005,1,939.3587719896758
P000302,C017,1,1678.7589204409082
P000303,C002,1,2145.979848937725
P000303,C005,1,2145.979848937725
P000303,C017,1,1373.6263671531592
P000304,C002,1,939.3587719896758
P000304,C004,1,939.3587719896758
