from,to,distance_old,h_max_old,cruise_height_old,climb_height_old,descent_height_old,distance_new,h_max_new,cruise_height_new,climb_height_new,descent_height_new,delta_h_max,delta_cruise_height
S006,S008,8092.942164777616,319.04754638671875,369.0475463867188,54.24754638671874,98.14754638671876,8092.942164777616,517.8421020507812,567.8421020507812,253.04210205078124,296.9421020507813,198.7945556640625,198.79455566406244
S006,S009,7677.209169122411,350.46759033203125,400.4675903320313,85.66759033203124,170.46759033203125,7677.209169122411,341.0712890625,391.0712890625,76.27128906249999,161.0712890625,-9.39630126953125,-9.396301269531307
S006,S010,7909.585429221888,510.1105651855469,560.1105651855469,245.3105651855469,208.51056518554685,7909.585429221888,383.2227783203125,433.2227783203125,118.42277832031247,81.62277832031248,-126.88778686523438,-126.88778686523438
S006,S011,3416.1902281569105,341.0712890625,391.0712890625,76.27128906249999,178.9712890625,3416.1902281569105,350.46759033203125,400.4675903320313,85.66759033203124,188.36759033203128,9.39630126953125,9.396301269531307
S006,S012,9988.826408304783,375.2806396484375,425.2806396484375,110.48063964843747,145.4806396484375,9988.826408304783,385.3490295410156,435.3490295410156,120.5490295410156,155.5490295410156,10.068389892578125,10.068389892578125
S006,S013,7774.922470685925,480.896728515625,530.896728515625,216.096728515625,179.196728515625,7774.922470685925,344.1709289550781,394.1709289550781,79.37092895507811,42.470928955078136,-136.72579956054688,-136.72579956054688
S006,S014,8582.826645617135,320.9825134277344,370.9825134277344,56.18251342773437,19.98251342773437,8582.826645617135,556.662109375,606.662109375,291.862109375,255.662109375,235.67959594726562,235.67959594726562
S006,S015,4702.818713985765,465.7823791503906,515.7823791503906,200.9823791503906,41.28237915039063,4702.818713985765,601.2601318359375,651.2601318359375,336.4601318359375,176.7601318359375,135.47775268554688,135.47775268554688
S007,O01,4533.821635606341,597.7623291015625,647.7623291015625,299.2623291015625,520.0623291015625,4533.821635606341,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,-135.78915405273438,-135.78915405273438
S007,S001,5179.657800128225,367.77001953125,417.77001953125,69.27001953125,233.77001953125,5179.657800128225,389.1753540039063,439.1753540039063,90.67535400390624,255.17535400390625,21.405334472656307,21.405334472656307
S007,S002,8119.467045487778,580.47021484375,630.47021484375,281.97021484375,410.97021484375,8119.467045487778,424.7281799316406,474.7281799316406,126.22817993164062,255.22817993164065,-155.74203491210938,-155.74203491210938
S007,S003,2732.819379995153,503.26019287109375,553.2601928710938,204.76019287109372,214.76019287109372,2732.819379995153,360.6993408203125,410.6993408203125,62.1993408203125,72.1993408203125,-142.56085205078125,-142.56085205078125
S007,S004,7107.951861397632,501.8207092285156,551.8207092285156,203.3207092285156,323.5207092285156,7107.951861397632,543.2369995117188,593.2369995117188,244.73699951171875,364.93699951171874,41.416290283203125,41.416290283203125
S007,S005,4690.978012733275,540.2982788085938,590.2982788085938,241.79827880859372,395.29827880859375,4690.978012733275,467.1478271484375,517.1478271484375,168.6478271484375,322.1478271484375,-73.15045166015625,-73.15045166015625
S007,S006,2516.489885999068,391.1376953125,441.1376953125,92.6376953125,126.3376953125,2516.489885999068,540.361328125,590.361328125,241.861328125,275.561328125,149.2236328125,149.2236328125
S007,S008,5931.502490714411,420.0450439453125,470.0450439453125,121.5450439453125,199.14504394531247,5931.502490714411,606.739501953125,656.739501953125,308.239501953125,385.839501953125,186.6944580078125,186.6944580078125
S007,S009,6903.234859610077,587.1497192382812,637.1497192382812,288.64971923828125,407.1497192382813,6903.234859610077,418.3708190917969,468.3708190917969,119.87081909179688,238.37081909179688,-168.77890014648438,-168.77890014648438
S007,S010,8586.756825273913,496.6688537597656,546.6688537597656,198.1688537597656,195.0688537597656,8586.756825273913,386.94964599609375,436.94964599609375,88.44964599609375,85.34964599609373,-109.71920776367188,-109.71920776367188
S007,S011,2829.56174155148,367.77001953125,417.77001953125,69.27001953125,205.67001953125,2829.56174155148,389.1753540039063,439.1753540039063,90.67535400390624,227.07535400390623,21.405334472656307,21.405334472656307
S007,S012,9652.02215730728,568.2607421875,618.2607421875,269.7607421875,338.4607421875,9652.02215730728,407.6636352539063,457.6636352539063,109.16363525390624,177.86363525390624,-160.5971069335937,-160.5971069335937
