task_id,tau,x,y,z,phase,node
R000002,1056.6032859463814,109.23450265469523,23.015906603989563,246.75572204589844,cruise,
R000002,1066.6032859463814,109.23401769662276,23.014924043100095,246.75572204589844,cruise,
R000002,1076.6032859463814,109.23353273855027,23.013941482210626,246.75572204589844,cruise,
R000002,1086.6032859463814,109.23304778047778,23.012958921321157,246.75572204589844,cruise,
R000002,1096.6032859463814,109.2325628224053,23.01197636043169,246.75572204589844,cruise,
R000002,1106.6032859463814,109.23207786433281,23.01099379954222,246.75572204589844,cruise,
R000002,1116.6032859463814,109.23159290626032,23.010011238652748,246.75572204589844,cruise,
R000002,1126.6032859463814,109.23110794818783,23.00902867776328,246.75572204589844,cruise,
R000002,1131.887210523948,109.2308517,23.0085095,246.75572204589844,descend,O01
R000002,1141.887210523948,109.2308517,23.0085095,221.75572204589844,descend,O01
R000002,1151.887210523948,109.2308517,23.0085095,196.75572204589844,descend,O01
R000002,1161.887210523948,109.2308517,23.0085095,171.75572204589844,descend,O01
R000002,1171.887210523948,109.2308517,23.0085095,146.75572204589844,descend,O01
R000002,1179.5094993423072,109.2308517,23.0085095,127.7,descend,O01
R000003,0.0,109.2308517,23.0085095,127.7,setup,O01
R000003,10.0,109.2308517,23.0085095,127.7,setup,O01
R000003,20.0,109.2308517,23.0085095,127.7,setup,O01
R000003,30.0,109.2308517,23.0085095,127.7,setup,O01
R000003,40.0,109.2308517,23.0085095,127.7,setup,O01
R000003,50.0,109.2308517,23.0085095,127.7,setup,O01
R000003,60.0,109.2308517,23.0085095,127.7,setup,O01
R000003,70.0,109.2308517,23.0085095,127.7,setup,O01
R000003,80.0,109.2308517,23.0085095,127.7,setup,O01
R000003,90.0,109.2308517,23.0085095,127.7,setup,O01
R000003,100.0,109.2308517,23.0085095,127.7,setup,O01
R000003,110.0,109.2308517,23.0085095,127.7,setup,O01
R000003,120.0,109.2308517,23.0085095,127.7,setup,O01
R000003,130.0,109.2308517,23.0085095,127.7,setup,O01
R000003,140.0,109.2308517,23.0085095,127.7,setup,O01
R000003,150.0,109.2308517,23.0085095,127.7,setup,O01
R000003,160.0,109.2308517,23.0085095,127.7,setup,O01
R000003,170.0,109.2308517,23.0085095,127.7,setup,O01
R000003,180.0,109.2308517,23.0085095,127.7,setup,O01
R000003,190.0,109.2308517,23.0085095,127.7,setup,O01
R000003,200.0,109.2308517,23.0085095,127.7,setup,O01
R000003,210.0,109.2308517,23.0085095,127.7,setup,O01
R000003,220.0,109.2308517,23.0085095,127.7,setup,O01
R000003,230.0,109.2308517,23.0085095,127.7,setup,O01
R000003,240.0,109.2308517,23.0085095,127.7,setup,O01
R000003,250.0,109.2308517,23.0085095,127.7,setup,O01
R000003,260.0,109.2308517,23.0085095,127.7,setup,O01
R000003,270.0,109.2308517,23.0085095,127.7,setup,O01
R000003,280.0,109.2308517,23.0085095,127.7,setup,O01
R000003,290.0,109.2308517,23.0085095,127.7,setup,O01
R000003,300.0,109.2308517,23.0085095,127.7,setup,O01
R000003,310.0,109.2308517,23.0085095,127.7,setup,O01
R000003,320.0,109.2308517,23.0085095,127.7,setup,O01
R000003,330.0,109.2308517,23.0085095,127.7,setup,O01
R000003,340.0,109.2308517,23.0085095,127.7,setup,O01
R000003,350.0,109.2308517,23.0085095,127.7,setup,O01
R000003,360.0,109.2308517,23.0085095,127.7,climb,O01
R000003,370.0,109.2308517,23.0085095,157.7,climb,O01
