task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000156,B,1,S003,2020.2414747964503,2.3296855118090862,5911.9,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000157,B,1,S003,2020.2414747964503,2.363473077027738,5911.9,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000158,B,1,S003,2080.2414747964503,2.553333936621157,5851.9,1232.4140707315587,847.8274040648918,0.40756201351472954,1,847.8274040648918,-5.288334514260441,1
R000159,B,1,S003,2020.2414747964503,2.496305935550539,5911.9,1202.4140707315587,817.8274040648918,0.40481665893295854,1,817.8274040648918,-5.288334514260441,1
R000160,B,1,S003,2080.2414747964503,2.7791674808241336,5851.9,1232.4140707315587,847.8274040648918,0.40756201351472954,1,847.8274040648918,-5.288334514260441,1
R000161,B,1,S004,1865.7710095479192,2.371654142473272,,1214.7721714406262,650.9988381072931,0.34891679352710686,1,650.9988381072931,-5.839925593266557,1
R000162,B,1,S004,1865.7710095479192,2.39899460000606,,1214.7721714406262,650.9988381072931,0.34891679352710686,1,650.9988381072931,-5.839925593266557,1
R000163,B,1,S004,1925.7710095479192,2.5108422104926804,,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
R000164,B,1,S004,1865.7710095479192,2.5108422104926804,6015.5,1214.7721714406262,650.9988381072931,0.34891679352710686,1,650.9988381072931,-5.839925593266557,1
R000165,B,1,S004,1925.7710095479192,2.678558384203423,5955.5,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
R000166,B,1,S004,1925.7710095479192,2.751404337882099,5955.5,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
R000167,B,1,S004,1925.7710095479192,3.0469873223143344,5955.5,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
R000168,B,1,S004,1865.7710095479192,2.3396781276726504,6015.5,1214.7721714406262,650.9988381072931,0.34891679352710686,1,650.9988381072931,-5.839925593266557,1
R000169,B,1,S004,1925.7710095479192,2.4144453620331974,5955.5,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
R000170,B,1,S004,1925.7710095479192,2.449030437883633,5955.5,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
R000171,B,1,S004,1925.7710095479192,2.586356071937873,5955.5,1244.7721714406262,680.9988381072931,0.3536239951328168,1,680.9988381072931,-5.839925593266557,1
