pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P017712,C,2,S005>S008,8,62.0,0.20400000000000001,6.246650878490284,2710.5399213047053,0.21916864018871451,True,5193.499276653962
P017713,C,2,S005>S008,6,59.0,0.156,6.125636075340784,2578.5399213047053,0.23429549058240196,True,9461.342679682093
P017714,C,2,S005>S008,6,59.0,0.156,6.125636075340784,2578.5399213047053,0.23429549058240196,True,5325.499276653962
P017715,C,2,S005>S008,6,51.0,0.164,5.858077192945506,2578.5399213047053,0.2677403508818117,True,9461.342679682093
P017716,C,2,S005>S008,7,65.0,0.191,6.3812087117114,2644.5399213047053,0.202348911036075,True,5259.499276653962
P017717,C,2,S005>S008,6,53.0,0.157,5.918193028239601,2578.5399213047053,0.26022587147004983,True,9461.342679682093
P017718,C,2,S005>S008,6,48.0,0.14100000000000001,5.775652082769616,2578.5399213047053,0.278043489653798,True,5325.499276653962
P017719,C,2,S008>S005,6,48.0,0.14100000000000001,6.3587775438757,2578.5399213047053,0.2051528070155375,True,5814.280802041333
P017720,C,2,S005>S008,7,62.0,0.168,6.246650878490284,2644.5399213047053,0.21916864018871451,True,5259.499276653962
P017721,C,2,S005>S008,8,62.0,0.20400000000000001,6.246650878490284,2710.5399213047053,0.21916864018871451,True,5193.499276653962
P017722,C,2,S005>S008,7,65.0,0.191,6.3149193677519335,2644.5399213047053,0.2106350790310083,True,9395.342679682093
P017723,C,2,S005>S008,7,62.0,0.168,6.18901112949453,2644.5399213047053,0.2263736088131838,True,5259.499276653962
P017724,C,2,S005>S009,2,28.0,0.054,4.588249571545346,2090.806160002946,0.4264688035568317,True,9198.761360363402
P017725,C,2,S009>S005,2,28.0,0.054,4.599120879505087,2090.806160002946,0.42510989006186417,True,9744.662479633653
P017726,C,2,S005>S009,2,22.0,0.055,4.493233708911049,2090.806160002946,0.4383457863861189,False,inf
P017727,C,2,S009>S005,2,22.0,0.055,4.5226456616482285,2090.806160002946,0.43466929229397144,False,inf
P017728,C,2,S005>S009,3,36.0,0.082,4.746422833894602,2156.806160002946,0.40669714576317473,True,9132.761360363402
P017729,C,2,S009>S005,3,36.0,0.082,4.724938194018494,2156.806160002946,0.4093827257476883,True,9678.662479633653
P017730,C,2,S005>S009,2,17.0,0.039,4.42887324909286,2090.806160002946,0.44639084386339245,True,9198.761360363402
P017731,C,2,S009>S005,2,17.0,0.039,4.4693189589802,2090.806160002946,0.44133513012747505,True,9744.662479633653
P017732,C,2,S005>S009,3,31.0,0.066,4.643149990438921,2156.806160002946,0.41960625119513484,True,9132.761360363402
P017733,C,2,S009>S005,3,31.0,0.066,4.642887015326534,2156.806160002946,0.4196391230841833,True,9678.662479633653
P017734,C,2,S005>S009,3,25.0,0.067,4.538327005066304,2156.806160002946,0.43270912436671205,True,9132.761360363402
P017735,C,2,S009>S005,3,25.0,0.067,4.559112376480554,2156.806160002946,0.43011095293993074,True,9678.662479633653
P017736,C,2,S005>S009,4,39.0,0.094,4.816041387285246,2222.806160002946,0.39799482658934426,True,9066.761360363402
P017737,C,2,S009>S005,4,39.0,0.094,4.7802002793614475,2222.806160002946,0.40247496507981906,True,9612.662479633653
P017738,C,2,S005>S009,3,42.0,0.081,4.81429513235406,2156.806160002946,0.39821310845574254,True,9132.761360363402
P017739,C,2,S009>S005,3,42.0,0.081,4.91632900566383,2156.806160002946,0.3854588742920213,True,9714.662479633653
P017740,C,2,S005>S009,3,36.0,0.082,4.683059110260366,2156.806160002946,0.4146176112174542,False,inf
P017741,C,2,S009>S005,3,36.0,0.082,4.800759934662277,2156.806160002946,0.3999050081672154,False,inf
P017742,C,2,S005>S009,4,50.0,0.109,5.0316934531379385,2222.806160002946,0.3710383183577577,True,9066.761360363402
P017743,C,2,S009>S005,4,50.0,0.109,5.106070272238367,2222.806160002946,0.36174121597020414,True,9648.662479633653
P017744,C,2,S005>S009,3,31.0,0.066,4.592085640511341,2156.806160002946,0.4259892949360824,True,9132.761360363402
P017745,C,2,S009>S005,3,31.0,0.066,4.718708755970318,2156.806160002946,0.4101614055037103,True,9714.662479633653
P017746,C,2,S005>S009,4,45.0,0.093,4.889675618184334,2222.806160002946,0.3887905477269582,True,9066.761360363402
P017747,C,2,S009>S005,4,45.0,0.093,4.982200089148866,2222.806160002946,0.3772249888563918,True,9648.662479633653
P017748,C,2,S005>S009,4,39.0,0.094,4.745566175134547,2222.806160002946,0.4068042281081816,True,9066.761360363402
